,step,train_loss_start,train_loss_end,test_loss_start,test_loss_end,train_acc_start,train_acc_end,test_acc_start,test_acc_end
0,0,2.6466463465118406,0.005057452969104052,2.6289041748046875,1.1597059560775758,44.442,99.912,45.99,76.85
1,1,0.008236263704374433,0.0035510290216282012,1.1779801553726197,1.2073803240776062,99.844,99.942,76.77,76.87
2,2,0.004911210028827191,0.0028021015096455814,1.2129071778297424,1.2437167413711547,99.922,99.942,76.79,76.0
3,3,0.004123378344550729,0.0032012152079120277,1.2434023342132567,1.2430939223766326,99.914,99.942,76.13,75.5
4,4,0.004184978865981102,0.002850680273678154,1.2454786588191986,1.2445848601341247,99.916,99.948,75.57,76.36
5,5,0.0035501719383895397,0.003977581691890955,1.2435485390663148,1.1389850230693817,99.924,99.958,76.16,75.51
6,6,0.005333351809084416,0.0025757111885398626,1.1443975655555725,1.2828355780601501,99.944,99.96,75.74,75.07
7,7,0.0034340887565910815,0.0024045174488052726,1.2880162158966064,1.3321279787063598,99.942,99.968,74.63,74.85
8,8,0.003209038810431957,0.002565336557086557,1.3364332425117493,1.3453295498371125,99.944,99.958,74.88,74.62
9,9,0.0032608001023717225,0.0024881141649931667,1.3447597813129426,1.3467900964736939,99.942,99.962,74.71,74.5
